Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Flood?
29.4,12.3,0.0,68.0,0.453703704,0.6,0.0
33.9,15.2,9.0,63.0,0.659259259,0.9,0.0
36.7,20.2,8.0,59.0,1.085185185,1.5,0.0
33.9,23.9,140.0,71.0,1.772222222,3.9,1.0
35.6,25.0,217.0,76.0,1.703703704,4.1,1.0
34.4,25.7,512.0,80.0,1.631481481,5.6,1.0
33.4,25.8,575.0,85.0,1.57037037,5.4,1.0
33.5,25.7,349.0,86.0,1.32962963,5.6,1.0
34.8,25.7,252.0,83.0,0.937037037,4.8,1.0
34.0,24.7,128.0,78.0,0.490740741,3.1,0.0
31.5,17.4,41.0,68.0,0.312962963,0.9,0.0
29.7,12.5,0.0,66.0,0.337037037,0.3,0.0
30.0,14.1,0.0,77.0,0.453703704,0.8,0.0
31.7,16.6,90.0,76.0,0.659259259,1.7,0.0
36.1,20.5,13.0,70.0,1.085185185,2.9,0.0
37.2,24.2,66.0,75.0,1.772222222,3.3,0.0
36.1,25.5,87.0,78.0,1.703703704,4.8,1.0
33.9,26.0,476.0,87.0,1.631481481,7.2,1.0
32.2,25.9,546.0,89.0,1.57037037,6.8,1.0
32.8,25.6,337.0,90.0,1.32962963,7.4,1.0
33.9,26.4,187.0,84.0,0.937037037,6.5,1.0
33.3,24.5,339.0,85.0,0.490740741,5.8,1.0
32.9,18.6,98.0,73.0,0.312962963,2.9,0.0
30.1,14.0,0.0,68.0,0.337037037,1.5,0.0
28.2,12.3,0.0,77.0,0.453703704,0.6,0.0
32.3,16.0,0.0,76.0,0.659259259,0.6,0.0
35.6,21.5,67.0,70.0,1.085185185,4.0,0.0
36.7,24.3,137.0,75.0,1.772222222,4.6,1.0
35.2,25.6,114.0,78.0,1.703703704,3.9,0.0
33.9,26.2,394.0,87.0,1.631481481,6.7,1.0
35.0,26.0,375.0,89.0,1.57037037,7.2,1.0
33.3,26.4,194.0,90.0,1.32962963,7.3,1.0
34.4,25.5,286.0,84.0,0.937037037,5.5,1.0
33.3,25.1,301.0,85.0,0.490740741,4.8,1.0
31.1,20.0,31.0,73.0,0.312962963,2.5,0.0
31.7,15.7,0.0,68.0,0.337037037,2.1,0.0
26.6,12.3,2.0,77.0,0.453703704,1.0,0.0
30.6,15.2,8.0,75.0,0.659259259,1.5,0.0
33.3,20.2,33.0,73.0,1.085185185,2.4,0.0
34.0,23.9,85.0,78.0,1.772222222,3.7,0.0
33.6,25.0,196.0,81.0,1.703703704,4.7,1.0
32.9,25.7,406.0,87.0,1.631481481,6.2,1.0
31.2,25.6,414.0,88.0,1.57037037,6.5,1.0
31.4,25.7,349.0,88.0,1.32962963,6.4,1.0
32.5,25.5,275.0,87.0,0.937037037,5.6,1.0
32.0,23.8,171.0,85.0,0.490740741,3.6,1.0
30.7,18.8,35.0,80.0,0.312962963,2.0,0.0
27.8,13.7,4.0,63.0,0.337037037,1.0,0.0
30.0,13.3,10.0,75.0,0.453703704,1.6,0.0
32.8,15.5,3.0,75.0,0.659259259,2.2,0.0
35.0,22.9,3.0,78.0,1.085185185,3.1,0.0
36.7,25.1,46.0,76.0,1.772222222,3.9,0.0
36.1,25.2,339.0,81.0,1.703703704,5.3,1.0
35.6,25.2,715.0,88.0,1.631481481,7.3,1.0
35.0,25.5,526.0,91.0,1.57037037,6.9,1.0
36.7,25.7,167.0,87.0,1.32962963,6.1,1.0
35.0,25.7,174.0,87.0,0.937037037,5.6,1.0
33.1,24.3,45.0,80.0,0.490740741,3.0,0.0
30.6,19.1,0.0,77.0,0.312962963,1.4,0.0
29.4,16.1,0.0,76.0,0.337037037,0.6,0.0
27.8,12.7,0.0,72.0,0.453703704,0.5,0.0
33.4,17.9,3.0,73.0,0.659259259,1.0,0.0
36.7,20.5,56.0,65.0,1.085185185,1.4,0.0
37.1,25.6,14.0,72.0,1.772222222,3.0,0.0
37.1,26.3,70.0,74.0,1.703703704,3.8,0.0
36.0,25.4,500.0,86.0,1.631481481,6.4,1.0
33.0,25.8,260.0,85.0,1.57037037,5.6,1.0
33.8,26.4,360.0,87.0,1.32962963,6.6,1.0
34.1,26.4,144.0,88.0,0.937037037,5.6,1.0
33.2,23.7,169.0,86.0,0.490740741,4.3,1.0
29.7,17.7,1.0,76.0,0.312962963,1.0,0.0
29.3,15.2,6.0,78.0,0.337037037,2.1,0.0
26.6,12.3,2.0,77.0,0.453703704,1.0,0.0
30.5,15.2,8.0,75.0,0.659259259,1.5,0.0
33.3,20.2,33.0,73.0,1.085185185,2.4,0.0
34.0,23.9,85.0,78.0,1.772222222,3.7,0.0
33.6,25.0,196.0,81.0,1.703703704,4.7,1.0
32.9,25.7,406.0,87.0,1.631481481,6.2,1.0
31.2,25.6,414.0,88.0,1.57037037,6.5,1.0
31.4,25.7,349.0,88.0,1.32962963,6.4,1.0
32.5,25.5,275.0,87.0,0.937037037,5.6,1.0
32.0,23.8,171.0,85.0,0.490740741,3.6,1.0
30.7,18.8,35.0,80.0,0.312962963,2.0,0.0
27.8,13.7,4.0,63.0,0.337037037,1.0,0.0
29.4,14.3,17.0,74.0,0.453703704,0.4,0.0
32.8,14.9,0.0,69.0,0.659259259,1.2,0.0
36.7,21.5,20.0,72.0,1.085185185,1.8,0.0
37.2,24.3,92.0,77.0,1.772222222,2.6,0.0
34.4,26.2,343.0,83.0,1.703703704,5.6,1.0
32.2,25.2,784.0,87.0,1.631481481,6.3,1.0
33.8,25.8,319.0,86.0,1.57037037,5.7,1.0
33.3,26.0,497.0,87.0,1.32962963,5.6,1.0
33.4,25.7,700.0,85.0,0.937037037,4.8,1.0
33.8,24.5,184.0,84.0,0.490740741,3.3,1.0
31.3,20.0,46.0,81.0,0.312962963,1.3,0.0
29.5,14.9,0.0,79.0,0.337037037,0.2,0.0
30.1,15.1,104.0,80.0,0.453703704,1.0,0.0
30.6,16.3,13.0,80.0,0.659259259,1.6,0.0
36.6,20.0,0.0,70.0,1.085185185,1.8,0.0
37.3,24.9,1.0,85.0,1.772222222,2.3,0.0
36.2,26.7,22.0,77.0,1.703703704,4.2,0.0
35.5,26.5,244.0,83.0,1.631481481,5.3,1.0
33.3,26.0,564.0,87.0,1.57037037,5.8,1.0
35.5,26.3,286.0,87.0,1.32962963,5.3,1.0
34.4,26.3,216.0,86.0,0.937037037,5.3,1.0
33.2,24.4,52.0,80.0,0.490740741,3.2,0.0
30.7,18.5,0.0,73.0,0.312962963,0.9,0.0
29.4,14.8,0.0,76.0,0.337037037,0.2,0.0
31.1,15.5,0.0,77.0,0.453703704,1.7,0.0
30.5,16.6,12.0,75.0,0.659259259,2.3,0.0
33.6,16.5,51.0,73.0,1.085185185,2.4,0.0
36.6,24.5,129.0,79.0,1.772222222,3.0,0.0
36.1,26.2,289.0,83.0,1.703703704,4.0,1.0
35.5,27.0,171.0,84.0,1.631481481,4.9,1.0
33.3,26.2,414.0,90.0,1.57037037,6.0,1.0
33.4,26.1,268.0,88.0,1.32962963,5.6,1.0
34.4,26.0,321.0,85.0,0.937037037,5.4,1.0
